comp_code,comp_name,profit
NAS:HUM,"Humana Inc, 2024",-9.16
NAS:WBA,"Walgreens Boots Alliance Inc, 2024",-6.79
NAS:SEDG,"NAS:SEDG, 2024",-6.56
NAS:ALB,"Albemarle Corporation, 2024",-6.08
NAS:ILMN,"Illumina, Inc., 2024",-5.4
NAS:LUMN,"NAS:LUMN, 2024",-5.11
NAS:SEDG,"NAS:SEDG, 2024",-3.62
NAS:CNXC,"NAS:CNXC, 2024",-3.11
NAS:RUN,"NAS:RUN, 2024",-0.46
NAS:VFC,"VF Corp, 2024",4.26
