session_dt,market_val,n,val
"2023-01-03 00:00:00",0,1025,0
"2023-01-05 00:00:00",-0.07,1025,-2.56
"2023-01-12 00:00:00",4.08,1024,7.81
"2023-01-19 00:00:00",1.74,1024,3
"2023-01-26 00:00:00",5.18,1024,1.78
"2023-02-02 00:00:00",7.72,1024,4.02
"2023-02-09 00:00:00",7.16,1023,6.51
"2023-02-23 00:00:00",8.35,1022,5.76
"2023-03-09 00:00:00",5.39,1020,1.9
"2023-03-16 00:00:00",1.2,1019,-7.76
"2023-03-23 00:00:00",-1.42,1018,-10.54
"2023-03-30 00:00:00",1.48,1017,-7.94
"2023-04-06 00:00:00",0.26,1017,-13.76
"2023-04-13 00:00:00",2.12,1015,-11.05
"2023-04-20 00:00:00",1.07,1017,-14.28
"2023-04-27 00:00:00",-1.34,1017,-15.08
"2023-05-04 00:00:00",-2.66,1016,-15.07
"2023-05-11 00:00:00",-2.3,1016,-13.47
"2023-05-18 00:00:00",-0.94,1015,-17.35
"2023-05-25 00:00:00",-2.88,1011,-15.36
"2023-06-01 00:00:00",-0.62,1014,-17.27
"2023-06-08 00:00:00",1.98,1014,-19.46
"2023-06-15 00:00:00",2.66,1013,-16.9
"2023-06-22 00:00:00",-0.33,1013,-18.04
"2023-06-29 00:00:00",1.48,1014,-19.15
"2023-07-06 00:00:00",1.14,1013,-13.27
"2023-07-13 00:00:00",4.76,1012,0.31
"2023-07-20 00:00:00",3.32,1008,-7.66
"2023-07-27 00:00:00",3.68,1012,-11.94
"2023-08-03 00:00:00",4.01,1010,-13.83
"2023-08-10 00:00:00",3.63,1006,-16.24
"2023-08-17 00:00:00",1.06,1009,-23.14
"2023-08-24 00:00:00",1.13,1009,-24.83
"2023-08-31 00:00:00",3.68,1008,-21.05
"2023-09-07 00:00:00",3.03,1008,-23.22
"2023-09-14 00:00:00",6.67,1006,-19.48
"2023-09-21 00:00:00",3.81,1006,-33.91
"2023-09-28 00:00:00",3.42,1003,-29.62
"2023-10-05 00:00:00",0.93,1000,-34.75
"2023-10-12 00:00:00",0.07,1000,-38.41
"2023-10-19 00:00:00",-2.17,991,-41.2
"2023-10-26 00:00:00",-4.52,990,-43.87
"2023-11-02 00:00:00",-2.55,999,-43.91
"2023-11-06 00:00:00",-1.44,998,-43.91
